fighter_name,Height,Weight,Reach,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Style
David Avellan,69.0,185.0,72.0,3.33,0.25,10.0,0.57,0.0,0.0,0.0,0.0,0
Levi Avera,73.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Blas Avena,72.0,170.0,74.0,2.34,0.47,3.36,0.43,2.37,0.8,0.5,1.8,1
Anthony Avila,67.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Julia Avila,67.0,135.0,68.0,3.1,0.41,2.9,0.54,0.49,0.5,0.6,0.0,0
Chris Avila,70.0,145.0,72.0,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,0
Saad Awad,71.0,155.0,72.0,2.13,0.26,1.87,0.6,0.5,0.16,1.0,0.5,0
Abu Azaitar,69.0,185.0,76.0,3.2,0.37,1.27,0.57,1.0,1.0,0.25,0.0,0
Javy Ayala,73.0,265.0,72.0,0.83,0.25,5.0,0.33,0.0,0.0,0.0,0.0,0
Jessin Ayari,72.0,155.0,73.0,3.53,0.37,3.59,0.58,0.0,0.0,0.5,0.3,2
Luiz Azeredo,69.0,154.0,72.0,2.16,0.39,2.76,0.57,1.07,0.5,0.45,0.3,0
Ottman Azaitar,68.0,155.0,71.0,8.43,0.57,1.76,0.67,0.0,0.0,1.0,0.0,2
Luciano Azevedo,75.0,161.0,72.0,0.76,0.45,1.97,0.27,2.28,0.11,0.0,0.0,1
Hunter Azure,68.0,145.0,69.0,4.17,0.52,1.99,0.62,2.52,0.45,0.76,1.4,1
Niklas Backstrom,73.0,145.0,72.0,1.12,0.41,3.65,0.4,2.92,0.8,0.72,2.2,1
Izabela Badurek,65.0,115.0,72.0,3.74,0.71,4.9,0.32,1.75,0.12,1.0,0.0,2
Miguel Baeza,74.0,170.0,74.0,4.64,0.55,3.89,0.5,0.8,0.4,1.0,1.2,1
Ali Bagautinov,64.0,125.0,65.0,2.85,0.42,3.09,0.52,2.51,0.36,0.65,0.3,1
Seth Baczynski,75.0,170.0,75.0,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,0
Ryan Bader,74.0,205.0,74.0,2.82,0.43,1.39,0.71,3.37,0.44,0.8,0.4,1
Mehdi Baghdad,73.0,155.0,72.0,3.13,0.3,4.56,0.46,0.0,0.0,0.33,0.0,0
Melsik Baghdasaryan,69.0,145.0,70.0,6.8,0.64,3.8,0.53,0.0,0.0,0.75,0.0,2
Siyar Bahadurzada,71.0,170.0,73.0,2.91,0.4,3.23,0.49,1.32,0.61,0.62,0.3,0
Ignacio Bahamondes,75.0,170.0,75.0,8.78,0.54,2.66,0.67,0.0,0.0,1.0,0.0,2
Stephen Banaszak,72.0,145.0,72.0,4.2,0.47,1.15,0.66,0.0,0.0,1.0,1.9,1
Jordan Bailey,69.0,145.0,72.0,1.74,0.4,0.29,0.0,4.35,1.0,0.0,4.3,1
Bryan Baker,75.0,185.0,72.0,1.78,0.52,2.83,0.45,0.44,0.5,0.37,0.9,0
Oluwale Bamgbose,71.0,185.0,78.0,2.45,0.48,2.7,0.55,0.94,0.33,0.37,0.0,0
Shamar Bailey,69.0,155.0,75.0,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,0
Scott Baker,72.0,210.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Marcin Bandel,70.0,155.0,72.0,0.79,0.5,5.26,0.23,0.0,0.0,0.0,0.0,0
Humberto Bandenay,71.0,145.0,71.0,2.22,0.41,4.79,0.41,2.9,0.46,0.62,0.5,1
Tae Hyun Bang,69.0,155.0,71.0,2.72,0.38,2.07,0.66,0.49,0.33,0.57,0.5,0
Maycee Barber,65.0,125.0,65.0,5.21,0.52,3.0,0.5,1.44,0.4,0.8,0.2,2
Yohan Banks,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Junior Barata,70.0,170.0,72.0,4.03,0.33,8.46,0.34,0.0,0.0,0.0,0.0,2
Antonio Banuelos,65.0,135.0,63.0,2.69,0.33,3.15,0.58,1.62,0.62,0.86,0.4,0
Bryan Barberena,72.0,170.0,72.0,5.48,0.48,4.7,0.45,0.23,0.28,0.6,0.5,2
Renan Barao,66.0,145.0,70.0,3.78,0.36,3.9,0.57,1.49,0.41,0.91,0.5,2
Edson Barboza,71.0,145.0,75.0,3.98,0.43,4.03,0.6,0.44,0.44,0.78,0.1,2
Nick Barnes,71.0,170.0,72.0,2.86,0.29,8.93,0.51,5.36,1.0,1.0,5.4,1
James Barnes,68.0,145.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Raoni Barcelos,67.0,135.0,67.0,5.59,0.52,4.17,0.67,2.23,0.56,0.85,0.7,1
Luke Barnatt,78.0,185.0,77.0,4.43,0.36,3.87,0.59,0.63,0.42,0.63,0.4,2
Chris Barnhizer,70.0,170.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
David Baron,66.0,155.0,72.0,1.17,0.3,2.1,0.56,0.0,0.0,0.14,0.7,0
Phil Baroni,69.0,170.0,72.0,2.77,0.45,3.93,0.4,1.46,0.47,0.6,0.5,0
